accuracy,loss,val_accuracy,val_loss,learning_rate
0.8920114636421204,0.2945479154586792,0.8717339634895325,0.3299608528614044,0.0010000000474974513
0.9349466562271118,0.1891399770975113,0.9026128053665161,0.2877585291862488,0.0010000000474974513
0.9443143606185913,0.16661913692951202,0.8931116461753845,0.31056973338127136,0.0010000000474974513
0.9463960528373718,0.15312916040420532,0.900237500667572,0.27852991223335266,0.0010000000474974513
0.947697103023529,0.14792725443840027,0.900237500667572,0.25394558906555176,0.0010000000474974513
0.947697103023529,0.14759987592697144,0.9121140241622925,0.25429731607437134,0.0010000000474974513
0.9523809552192688,0.1374014914035797,0.9121140241622925,0.273550420999527,0.0010000000474974513
0.9539422392845154,0.1338886022567749,0.9026128053665161,0.35259485244750977,0.0010000000474974513
0.9529013633728027,0.13009673357009888,0.9168646335601807,0.21744680404663086,0.0010000000474974513
0.9526411890983582,0.1318279355764389,0.9121140241622925,0.26546400785446167,0.0010000000474974513
0.9542024731636047,0.1303560435771942,0.9049881100654602,0.30511239171028137,0.0010000000474974513
0.954983115196228,0.1298893392086029,0.91923987865448,0.25269410014152527,0.0010000000474974513
0.9581056237220764,0.12282340973615646,0.9239904880523682,0.2249881774187088,0.0010000000474974513
0.9560239315032959,0.124343141913414,0.9311164021492004,0.20743533968925476,0.0010000000474974513
0.9573249816894531,0.12785308063030243,0.9263657927513123,0.20901095867156982,0.0010000000474974513
0.960968017578125,0.11769356578588486,0.9263657927513123,0.20473571121692657,0.0010000000474974513
0.9601873755455017,0.11870080977678299,0.9311164021492004,0.19105130434036255,0.0010000000474974513
0.9599271416664124,0.11568636447191238,0.9263657927513123,0.2175748199224472,0.0010000000474974513
0.9586260914802551,0.11707959324121475,0.9311164021492004,0.1962621808052063,0.0010000000474974513
0.9612281918525696,0.11054183542728424,0.9311164021492004,0.1964142620563507,0.0010000000474974513
0.9607077836990356,0.11249399930238724,0.9358670115470886,0.18821537494659424,0.0010000000474974513
0.9635701179504395,0.10706375539302826,0.9334917068481445,0.1869301199913025,0.0010000000474974513
0.9646109938621521,0.1055436059832573,0.9311164021492004,0.203224778175354,0.0010000000474974513
0.9617486596107483,0.10589463263750076,0.9382422566413879,0.1684810221195221,0.0010000000474974513
0.9625293016433716,0.10547389090061188,0.9334917068481445,0.1941232979297638,0.0010000000474974513
0.9627894759178162,0.10486285388469696,0.9311164021492004,0.2071032077074051,0.0010000000474974513
0.9633099436759949,0.10036474466323853,0.9263657927513123,0.21946975588798523,0.0010000000474974513
0.9661722779273987,0.09757692366838455,0.940617561340332,0.18908774852752686,0.0010000000474974513
0.9679937362670898,0.09264523535966873,0.9358670115470886,0.19388128817081451,0.0010000000474974513
0.9659120440483093,0.09621478617191315,0.9429928660392761,0.1989949643611908,0.0010000000474974513
0.9661722779273987,0.08830302953720093,0.9334917068481445,0.2500119209289551,0.0005000000237487257
0.9716367125511169,0.0851491391658783,0.9287410974502563,0.2644416093826294,0.0005000000237487257
0.9718969464302063,0.0846264660358429,0.9239904880523682,0.2747782766819,0.0005000000237487257
0.9718969464302063,0.08578039705753326,0.9382422566413879,0.23857980966567993,0.0005000000237487257
0.9726775884628296,0.08095560222864151,0.9263657927513123,0.27733680605888367,0.0005000000237487257
0.9703356623649597,0.08194777369499207,0.9168646335601807,0.31982943415641785,0.0005000000237487257
0.9734582304954529,0.07735467702150345,0.9287410974502563,0.30354535579681396,0.0002500000118743628
0.9739786386489868,0.07621701061725616,0.9311164021492004,0.2915447950363159,0.0002500000118743628
0.9716367125511169,0.07597360759973526,0.9311164021492004,0.2902161777019501,0.0002500000118743628
0.9739786386489868,0.07652945071458817,0.9311164021492004,0.2885744869709015,0.0002500000118743628
0.9739786386489868,0.07626762986183167,0.9358670115470886,0.26508772373199463,0.0002500000118743628
0.9744991064071655,0.07638174295425415,0.9263657927513123,0.3070284128189087,0.0002500000118743628
